Survey Year,UNITID,OPE ID,Institution Name,State CD,Classification Name,Classification Other,Sanction Code,Sanction Name,Male Undergraduates,Female Undergraduates,Total Undergraduates,Sport Code,Sport Name,# Participants Men's Team,# Participants Women's Team,# Participants Men Coed Team,# Participants Women Coed Team,Total # Participants Men's Team/Men Coed Team,Total # Participants Women's Team/Women Coed Team,Operating Expenses per Participant/Men's Team,Operating Expenses per Team/Men's Team,Operating Expenses per Participant/Women's Team,Operating Expenses per Team/Women's Team,Total Operating Expenses Men's Team and Women's Team,Operating Expenses per Participant/Men Coed Team,Operating Expenses per Team/Men Coed Team,Operating Expenses per Participant/Women Coed Team,Operating Expenses per Team/Women Coed Team,Total Operating Expenses Men Coed Team/Women Coed Team,Revenues Men's Team,Revenues Women's Team,Total Revenues For Men's Team and Women's Team,Revenues Men Coed Team,Revenues Women Coed Team,Total Revenues Men Coed Team/Women Coed Team,Total Revenues Men's Team and Men Coed Team,Total Revenues Women's Team and Women Coed Team,Total Revenues Men's Team/Women's Team and Coed Team,Expenses Men's Team,Expenses Women's Team,Total Expenses Men's Team and Women's Team,Expenses Men Coed Team,Expenses Women Coed Team,Total Expenses Men Coed Team and Women Coed Team,Total Expenses Men's Team and Men Coed Team,Total Expenses Women's Team and  Women Coed Team,Total Expenses Men's Team/Women's Team and Coed Team
2016,218724,00345100,Coastal Carolina University,SC,8,NCAA Division I- FCS Reclassifying to FBS,8,other,4207,4621,8828,2,Basketball,14,19,,,14,19,44454,622349,14862,282370,904719,,,,,,2315705,1506885,3822590,,,,2315705,1506885,3822590,2315705,1506885,3822590,,,,2315705,1506885,3822590
2016,217907,00342700,Coker College,SC,5,,1,NCAA,417,536,953,2,Basketball,27,16,,,27,16,1587,42854,2457,39316,82170,,,,,,406770,361543,768313,,,,406770,361543,768313,405399,361543,766942,,,,405399,361543,766942
2016,132851,00147100,College of Central Florida,FL,12,,3,NJCAA,1167,1608,2775,2,Basketball,19,15,,,19,15,2202,41836,1484,22258,64094,,,,,,223747,165075,388822,,,,223747,165075,388822,223747,165075,388822,,,,223747,165075,388822
2016,217819,00342800,College of Charleston,SC,3,,1,NCAA,3383,6087,9470,2,Basketball,15,14,,,15,14,44519,667783,23564,329895,997678,,,,,,2422777,1592601,4015378,,,,2422777,1592601,4015378,2422777,1592601,4015378,,,,2422777,1592601,4015378
2016,139250,00155800,College of Coastal Georgia,GA,9,,2,NAIA,772,1339,2111,2,Basketball,11,14,,,11,14,4571,50279,3353,46947,97226,,,,,,194886,207598,402484,,,,194886,207598,402484,194886,207598,402484,,,,194886,207598,402484
2016,178697,00250000,College of the Ozarks,MO,10,,2,NAIA,678,821,1499,2,Basketball,10,12,,,10,12,7893,78931,6403,76836,155767,,,,,,289500,295339,584839,,,,289500,295339,584839,201055,195909,396964,,,,201055,195909,396964
2016,247834,02361400,Collin County Community College District,TX,12,,3,NJCAA,4750,4783,9533,2,Basketball,15,13,,,15,13,3242,48624,4078,53008,101632,,,,,,220268,212084,432352,,,,220268,212084,432352,220268,212084,432352,,,,220268,212084,432352
2016,177065,00245600,Columbia College,MO,9,,2,NAIA,2421,3920,6341,2,Basketball,14,12,,,14,12,6181,86537,8157,97889,184426,,,,,,538687,466157,1004844,,,,538687,466157,1004844,538687,466157,1004844,,,,538687,466157,1004844
2016,217934,00343000,Columbia College,SC,9,,2,NAIA,267,774,1041,2,Basketball,,15,,,0,15,0,0,1231,18462,18462,,,,,,,230403,230403,,,,0,230403,230403,,229600,229600,,,,0,229600,229600
2016,217925,00342900,Columbia International University,SC,15,,4,NCCAA,224,230,454,2,Basketball,16,12,,,16,12,2065,33041,2493,29920,62961,,,,,,151594,153051,304645,,,,151594,153051,304645,151594,153051,304645,,,,151594,153051,304645
